root,top_folder,data_files,documentation_files,script_files,size_mb,extensions,main_roles,max_integration_score,recommended_use
sources/part_ii,54_International Energy Data - USworld,54,0,1,2679.6,.csv:54; .r:1,climate_energy; trade_finance,4,"Context, documentation, or lower-priority auxiliary source."
sources/part_ii,55_IMF-FAS,2,0,0,2900.2,.csv:2,labor_informality; gender; demographics,8,High-priority integration candidate for country-year panel.
sources/part_ii,56_WDI_gdp,2,0,1,1.9,.csv:2; .r:1,poverty; macro_controls; demographics,13,Country-year controls and poverty/inequality benchmarks.
sources/part_ii,Abrir_panel_global_revision.R,0,0,1,0.0,.r:1,,0,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,PanelData_completo,63,0,0,7735.1,.csv:60; .parquet:2; .xlsx:1,auxiliary_or_context; macro_controls; demographics; poverty; labor_informality,13,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,atlas_country_partner_year.parquet,1,0,0,18.2,.parquet:1,trade_finance,5,"Secondary controls, robustness, or extension source."
sources/part_ii,atlas_country_product_year.parquet,1,0,0,22.3,.parquet:1,trade_finance,5,"Secondary controls, robustness, or extension source."
sources/part_ii,atlas_country_year.csv,1,0,0,1.6,.csv:1,trade_finance,4,"Context, documentation, or lower-priority auxiliary source."
sources/part_ii,censo_agro_bolivia_country_year.csv,1,0,0,0.0,.csv:1,demographics,7,"Secondary controls, robustness, or extension source."
sources/part_ii,censo_agro_community_year.parquet,1,0,0,2.9,.parquet:1,demographics,8,High-priority integration candidate for country-year panel.
sources/part_ii,censo_agro_department_year.csv,1,0,0,0.0,.csv:1,demographics,7,"Secondary controls, robustness, or extension source."
sources/part_ii,censo_agro_municipality_year.csv,1,0,0,0.2,.csv:1,demographics,7,"Secondary controls, robustness, or extension source."
sources/part_ii,census_1976_housing_indicator.parquet,1,0,0,0.0,.parquet:1,demographics,8,High-priority integration candidate for country-year panel.
sources/part_ii,census_1976_population_indicator.parquet,1,0,0,0.1,.parquet:1,macro_controls; demographics,10,High-priority integration candidate for country-year panel.
sources/part_ii,census_2001_housing_community_year.parquet,1,0,0,2.4,.parquet:1,demographics,8,High-priority integration candidate for country-year panel.
sources/part_ii,census_2001_housing_country_year.parquet,1,0,0,0.0,.parquet:1,demographics,8,High-priority integration candidate for country-year panel.
sources/part_ii,census_2001_population_community_year.parquet,1,0,0,3.6,.parquet:1,macro_controls; demographics,10,High-priority integration candidate for country-year panel.
sources/part_ii,census_2001_population_country_year.parquet,1,0,0,0.0,.parquet:1,macro_controls; demographics,10,High-priority integration candidate for country-year panel.
sources/part_ii,create_panel_characteristics_image.py,0,0,1,0.0,.py:1,,0,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,create_panel_characteristics_table.py,0,0,1,0.0,.py:1,,0,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,create_panel_global_review_rds.py,0,0,1,0.0,.py:1,,0,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,dhs_country_BOIR51.parquet,1,0,0,2.0,.parquet:1,demographics,8,High-priority integration candidate for country-year panel.
sources/part_ii,dhs_disaggregation_BOIR51.parquet,1,0,0,14.1,.parquet:1,demographics,8,High-priority integration candidate for country-year panel.
sources/part_ii,ehogares_bolivia_country_year_indicator.parquet,1,0,0,8.9,.parquet:1,demographics,11,Bolivia household survey microdata; aggregate to Bolivia-year and validate against regional series.
sources/part_ii,ehogares_bolivia_disaggregation_year_indicator.parquet,1,0,0,27.5,.parquet:1,demographics,11,Bolivia household survey microdata; aggregate to Bolivia-year and validate against regional series.
sources/part_ii,panel_exclusion_report.csv,1,0,0,0.0,.csv:1,auxiliary_or_context,0,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,panel_files_manifest.csv,1,0,0,0.0,.csv:1,social_protection; demographics,4,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,panel_global_all_information.parquet,1,0,0,1027.0,.parquet:1,auxiliary_or_context,10,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,panel_global_expected_content.csv,1,0,0,0.0,.csv:1,auxiliary_or_context,3,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,panel_global_revision.rds,1,0,0,0.3,.rds:1,auxiliary_or_context,4,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,panel_global_summary.json,0,1,0,0.0,.json:1,,0,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,panel_global_verification.csv,1,0,0,0.0,.csv:1,auxiliary_or_context,3,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,panel_master_lpi_wdi_country_year.csv,1,0,0,1691.3,.csv:1,macro_controls,9,Country-year controls and poverty/inequality benchmarks.
sources/part_ii,panel_processing_manifest.csv,1,0,0,0.0,.csv:1,auxiliary_or_context,4,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,panel_processing_manifest_Codex.csv,1,0,0,0.0,.csv:1,auxiliary_or_context,4,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,tabla_caracteristicas_panel_global.csv,1,0,0,0.0,.csv:1,social_protection; demographics,11,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,tabla_caracteristicas_panel_global.xlsx,1,0,0,0.0,.xlsx:1,social_protection; demographics,11,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_ii,usworld_panel_long_country_year_indicator.csv,1,0,0,400.5,.csv:1,auxiliary_or_context,4,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_i,10_CEPII Gravity,143,0,4,22406.3,.csv:133; .dta:4; .r:4; .rds:4; .txt:2,trade_finance; macro_controls; demographics; social_protection,11,High-priority integration candidate for country-year panel.
sources/part_i,11_WB - GINI,25,0,2,5.9,.csv:22; .r:2; .rds:2; .xls:1,poverty; macro_controls,12,Country-year controls and poverty/inequality benchmarks.
sources/part_i,12_WTO,37,0,2,1925.5,.csv:35; .r:2; .rds:1; .txt:1,auxiliary_or_context; trade_finance; demographics; labor_informality; social_protection,6,"Secondary controls, robustness, or extension source."
sources/part_i,1_WB - ASPIRE,17,0,2,890.6,.csv:14; .dta:1; .r:2; .rds:1; .xlsx:1,social_protection; poverty,14,Core social protection source; harmonize program coverage and benefit/incidence variables.
sources/part_i,2_Barro-Lee Dataset,25,0,2,27.9,.csv:23; .r:2; .rds:2,macro_controls; gender; demographics,9,High-priority integration candidate for country-year panel.
sources/part_i,3_WB - WGI,19,1,1,29.5,.csv:16; .pdf:1; .r:1; .xlsx:3,macro_controls; governance,8,High-priority integration candidate for country-year panel.
sources/part_i,5_UNCTADstats,25,0,2,2750.4,.csv:25; .r:2,auxiliary_or_context; trade_finance; demographics; macro_controls,7,"Secondary controls, robustness, or extension source."
sources/part_i,6_FINDEX,23,0,1,2026.6,.csv:22; .r:1; .xlsx:1,auxiliary_or_context; poverty; labor_informality; social_protection,10,High-priority integration candidate for country-year panel.
sources/part_i,7_IMF,36,0,2,3063.3,.csv:35; .r:2; .xls:1,auxiliary_or_context; macro_controls; labor_informality; gender; demographics,8,High-priority integration candidate for country-year panel.
sources/part_i,8_WB - Commodity-Prices,5,0,1,5.2,.csv:1; .r:1; .xlsx:4,trade_finance; demographics; climate_energy,5,"Secondary controls, robustness, or extension source."
sources/part_i,9_Global Financial Development,29,0,2,1187.4,.csv:26; .r:2; .xlsx:3,trade_finance; social_protection; demographics; poverty,11,High-priority integration candidate for country-year panel.
sources/part_i,API_NY.GDP.MKTP.CD_DS2_es_excel_v2_501.xls,1,0,0,0.3,.xls:1,macro_controls,2,"Context, documentation, or lower-priority auxiliary source."
sources/part_i,panel_processing_manifest.csv,1,0,0,0.0,.csv:1,auxiliary_or_context,4,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
sources/part_i,panel_processing_manifest_Codex.csv,1,0,0,0.0,.csv:1,auxiliary_or_context,4,Candidate integrated panel; audit provenance before using as analysis-ready backbone.
